RewindDepth	target	bestLength_thisBatch	totalGamesPlayed
7	321	313	484814
8	321	315	487238
9	321	298	490030
10	321	280	493198
11	321	281	496750
12	321	284	500694
13	321	270	505036
14	321	283	509782
15	321	268	514938
16	321	269	520508
17	321	284	526498
18	321	254	532914
19	321	253	539760
20	321	266	547042
21	321	306	554762
22	321	251	562926
23	321	263	571536
24	321	253	580598
25	321	250	590116
26	321	262	600092
27	321	290	610530
28	321	258	621434
29	321	257	632806
30	321	288	644652
