RewindDepth	target	bestLength_thisBatch	totalGamesPlayed
1	534	534	256200
2	534	535	256400
1	535	535	256500
2	535	535	256700
3	535	532	257000
4	535	547	257400
1	547	548	257500
1	548	547	257600
2	548	548	257800
3	548	554	258100
1	554	554	258200
2	554	560	258400
1	560	561	258500
1	561	561	258600
2	561	561	258800
3	561	560	259100
4	561	559	259500
5	561	551	260000
6	561	543	260600
7	561	524	261300
8	561	516	262100
9	561	490	263000
1	490	501	263100
1	501	501	263200
2	501	503	263400
1	503	503	263500
2	503	503	263700
3	503	501	264000
4	503	531	264400
1	531	546	264500
1	546	546	264600
2	546	546	264800
3	546	549	265100
1	549	549	265200
2	549	549	265400
3	549	551	265700
1	551	551	265800
2	551	564	266000
1	564	564	266100
2	564	564	266300
3	564	561	266600
4	564	549	267000
5	564	546	267500
6	564	503	268100
1	503	503	268200
2	503	503	268400
3	503	503	268700
4	503	547	269100
1	547	547	269200
2	547	547	269400
3	547	561	269700
1	561	561	269800
2	561	565	270000
1	565	565	270100
2	565	568	270300
1	568	568	270400
2	568	568	270600
3	568	563	270900
4	568	563	271300
5	568	566	271800
6	568	545	272400
7	568	528	273100
8	568	504	273900
1	504	520	274000
1	520	520	274100
2	520	520	274300
3	520	521	274600
1	521	523	274700
1	523	523	274800
2	523	523	275000
3	523	523	275300
4	523	522	275700
5	523	514	276200
6	523	513	276800
7	523	512	277500
8	523	482	278300
9	523	453	279200
1	453	465	279300
1	465	476	279400
1	476	476	279500
2	476	476	279700
3	476	476	280000
4	476	477	280400
1	477	477	280500
2	477	477	280700
3	477	477	281000
4	477	477	281400
5	477	463	281900
6	477	476	282500
7	477	491	283200
1	491	505	283300
1	505	511	283400
1	511	511	283500
2	511	511	283700
3	511	528	284000
1	528	540	284100
1	540	540	284200
2	540	540	284400
3	540	543	284700
1	543	555	284800
1	555	557	284900
1	557	557	285000
2	557	557	285200
3	557	556	285500
4	557	562	285900
1	562	562	286000
2	562	562	286200
3	562	548	286500
4	562	555	286900
5	562	532	287400
6	562	549	288000
7	562	537	288700
8	562	530	289500
9	562	529	290400
10	562	508	291400
11	562	507	292500
12	562	436	293700
1	436	459	293800
1	459	460	293900
1	460	460	294000
2	460	460	294200
3	460	460	294500
4	460	466	294900
1	466	466	295000
2	466	466	295200
3	466	466	295500
4	466	467	295900
1	467	467	296000
2	467	467	296200
3	467	467	296500
4	467	464	296900
5	467	465	297400
6	467	472	298000
1	472	472	298100
2	472	473	298300
1	473	473	298400
2	473	473	298600
3	473	473	298900
4	473	478	299300
1	478	478	299400
2	478	478	299600
3	478	491	299900
1	491	503	300000
1	503	503	300100
2	503	503	300300
3	503	499	300600
4	503	498	301000
5	503	497	301500
6	503	512	302100
1	512	512	302200
2	512	512	302400
3	512	517	302700
1	517	517	302800
2	517	517	303000
3	517	517	303300
4	517	517	303700
